text_number,language,url,timestamp,source,question_score
315,en,https://apple.stackexchange.com/questions/1228,2023/3/29,stackexchange,2
316,en,https://apple.stackexchange.com/questions/1230,2023/3/29,stackexchange,4
317,en,https://apple.stackexchange.com/questions/1233,2023/3/29,stackexchange,3
318,en,https://apple.stackexchange.com/questions/1235,2023/3/29,stackexchange,8
319,en,https://apple.stackexchange.com/questions/1239,2023/3/29,stackexchange,3
320,en,https://apple.stackexchange.com/questions/1246,2023/3/29,stackexchange,6
321,en,https://apple.stackexchange.com/questions/1247,2023/3/29,stackexchange,4
322,en,https://apple.stackexchange.com/questions/1253,2023/3/29,stackexchange,14
323,en,https://apple.stackexchange.com/questions/1259,2023/3/29,stackexchange,2
324,en,https://apple.stackexchange.com/questions/1261,2023/3/29,stackexchange,4
325,en,https://apple.stackexchange.com/questions/1262,2023/3/29,stackexchange,0
326,en,https://apple.stackexchange.com/questions/1264,2023/3/29,stackexchange,3
327,en,https://apple.stackexchange.com/questions/1266,2023/3/29,stackexchange,2
328,en,https://apple.stackexchange.com/questions/1267,2023/3/29,stackexchange,2
329,en,https://apple.stackexchange.com/questions/1270,2023/3/29,stackexchange,95
330,en,https://apple.stackexchange.com/questions/1278,2023/3/29,stackexchange,-1
331,en,https://apple.stackexchange.com/questions/1295,2023/3/29,stackexchange,1
332,en,https://apple.stackexchange.com/questions/1299,2023/3/29,stackexchange,1
333,en,https://apple.stackexchange.com/questions/1303,2023/3/29,stackexchange,5
334,en,https://apple.stackexchange.com/questions/1305,2023/3/29,stackexchange,8
335,en,https://apple.stackexchange.com/questions/1308,2023/3/29,stackexchange,7
336,en,https://apple.stackexchange.com/questions/1309,2023/3/29,stackexchange,3
337,en,https://apple.stackexchange.com/questions/1313,2023/3/29,stackexchange,1
338,en,https://apple.stackexchange.com/questions/1320,2023/3/29,stackexchange,1
339,en,https://apple.stackexchange.com/questions/1322,2023/3/29,stackexchange,14
340,en,https://apple.stackexchange.com/questions/1324,2023/3/29,stackexchange,3
341,en,https://apple.stackexchange.com/questions/1327,2023/3/29,stackexchange,0
342,en,https://apple.stackexchange.com/questions/1329,2023/3/29,stackexchange,1
343,en,https://apple.stackexchange.com/questions/1330,2023/3/29,stackexchange,1
344,en,https://apple.stackexchange.com/questions/1335,2023/3/29,stackexchange,14
345,en,https://apple.stackexchange.com/questions/1338,2023/3/29,stackexchange,2
346,en,https://apple.stackexchange.com/questions/1342,2023/3/29,stackexchange,8
347,en,https://apple.stackexchange.com/questions/1344,2023/3/29,stackexchange,1
348,en,https://apple.stackexchange.com/questions/1345,2023/3/29,stackexchange,10
349,en,https://apple.stackexchange.com/questions/1352,2023/3/29,stackexchange,9
350,en,https://apple.stackexchange.com/questions/1353,2023/3/29,stackexchange,9
351,en,https://apple.stackexchange.com/questions/1354,2023/3/29,stackexchange,2
